Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Points_100,0.0,77214914,Primal,0.0,0.001503,-1,0.5,0.5,2
Points_100,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,2
Points_100,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,2
Points_100,1.0,77214914,Primal,-5875.037882989063,0.004311,14,0.5,0.5,2
Points_100,1.0,77214914,DualSinKernel,28.90730046728784,0.003159,11,0.9285714285714286,0.8666666666666667,2
Points_100,1.0,77214914,DualRBF,22.386669160377362,0.006058,11,0.9571428571428572,0.8333333333333334,2
Points_100,10.0,77214914,Primal,-62675.543973695916,0.004995,19,0.4,0.43333333333333335,2
Points_100,10.0,77214914,DualSinKernel,160.17800796550813,0.003758,14,0.9428571428571428,0.8666666666666667,2
Points_100,10.0,77214914,DualRBF,87.06833286291099,0.005404,9,0.9857142857142858,0.8333333333333334,2
Points_100,100.0,77214914,Primal,-1242438.697223133,0.003962,13,0.08571428571428572,0.16666666666666666,2
Points_100,100.0,77214914,DualSinKernel,1194.1885340968693,0.003537,13,0.9571428571428572,0.8666666666666667,2
Points_100,100.0,77214914,DualRBF,217.79802978378356,0.005997,11,1.0,0.7666666666666667,2
Points_1000,0.01,77214914,Primal,-25.508331784465344,0.020215,33,0.3314285714285714,0.3566666666666667,2
Points_1000,0.01,77214914,DualSinKernel,5.7540347975256525,0.015295,14,0.9142857142857143,0.9133333333333333,2
Points_1000,0.01,77214914,DualRBF,5.601526202688888,0.267446,16,0.9171428571428571,0.9066666666666666,2
Points_1000,0.1,77214914,Primal,-394.8837168625138,0.018588,28,0.1657142857142857,0.22,2
Points_1000,0.1,77214914,DualSinKernel,34.119890349835636,0.015233,14,0.9228571428571428,0.9066666666666666,2
Points_1000,0.1,77214914,DualRBF,29.950828131716335,0.24647,14,0.9214285714285714,0.9166666666666666,2
Points_1000,0.0,77214914,Primal,0.0,0.001773,-1,0.5171428571428571,0.5166666666666667,2
Points_1000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5171428571428571,0.5166666666666667,2
Points_1000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.4828571428571429,0.48333333333333334,2
Points_1000,1.0,77214914,Primal,-10597.271470591557,0.013776,19,0.08,0.09333333333333334,2
Points_1000,1.0,77214914,DualSinKernel,228.98815768271356,0.016388,19,0.9357142857142857,0.93,2
Points_1000,1.0,77214914,DualRBF,187.6752131412116,0.277246,17,0.9328571428571428,0.9166666666666666,2
